driver,arm,n,ic,t,hit
balance_sheet,anon_cue,125,0.6546043425765785,9.603419966123722,0.8018867924528302
balance_sheet,anon_full,125,0.6953820802409166,10.731601372961862,0.808695652173913
balance_sheet,none,125,0.6228630213099264,8.82987616337089,0.7909090909090909
balance_sheet,plain,125,0.7317037946135616,11.905394573459366,0.8482142857142857
curve_slope,anon_cue,124,0.2818886341262386,3.2451623739027675,0.6470588235294118
curve_slope,anon_full,125,0.12355987310099928,1.380927163870583,0.5411764705882353
curve_slope,none,125,0.05041507499555324,0.5598421521099651,0.5238095238095238
curve_slope,plain,123,0.09566030395409042,1.0571112157851807,0.5774647887323944
financial_conditions,anon_cue,125,0.19779196115222195,2.2378294787079156,0.6031746031746031
financial_conditions,anon_full,125,0.09793428904802516,1.0913902481729507,0.5806451612903226
financial_conditions,none,125,0.24391385528216286,2.7893835407627345,0.6164383561643836
financial_conditions,plain,125,0.28413382038966645,3.286657294980634,0.6666666666666666
inflation,anon_cue,123,0.261980611457975,2.9860811749767597,0.6
inflation,anon_full,121,0.2886141409883269,3.28834235445534,0.6344086021505376
inflation_expectations,anon_cue,123,0.043419360848292794,0.47806381464671793,0.4772727272727273
inflation_expectations,anon_full,125,-0.10812732037229815,-1.2062622440529038,0.44
inflation_expectations,none,125,0.009573770318073382,0.10618311554514004,0.48
inflation_expectations,plain,125,-0.056986746574505115,-0.6330423282356736,0.42
inflation,none,123,0.28088724287316635,3.219368968596945,0.6326530612244898
inflation,plain,123,0.22641682322909495,2.556988765784978,0.5588235294117647
labor_tightness,anon_cue,123,0.15278554825005033,1.700607236376974,0.5675675675675675
labor_tightness,anon_full,123,0.13676789864100894,1.5187180963364397,0.5238095238095238
labor_tightness,none,123,0.07417363512614765,0.8181637478192203,0.5319148936170213
labor_tightness,plain,123,0.11837811519321728,1.311380117661111,0.5365853658536586
positioning,anon_cue,125,-0.08439635712361261,-0.939352241360943,0.48598130841121495
positioning,anon_full,125,0.055259004021131375,0.6137898391781744,0.4845360824742268
positioning,none,125,-0.10393936123097318,-1.1590209594756402,0.47058823529411764
positioning,plain,125,-0.01269815017213753,-0.14084065329169962,0.5051546391752577
risk_appetite,anon_cue,125,0.1467066945745946,1.644853202566995,0.5274725274725275
risk_appetite,anon_full,125,0.08837163676142373,0.9839384506332383,0.48936170212765956
risk_appetite,none,125,0.17146274757004032,1.9301989419183077,0.5048543689320388
risk_appetite,plain,125,0.0657852076860218,0.7311771181575618,0.5
sector_breadth,anon_cue,125,-0.16066142300117994,-1.8052726301698943,0.44871794871794873
sector_breadth,anon_full,125,-0.17622151110753442,-1.9854625251529192,0.4230769230769231
sector_breadth,none,125,-0.22137154414742188,-2.5175918018774675,0.38271604938271603
sector_breadth,plain,125,-0.11257976275399276,-1.2565582983122434,0.5
term_premium,anon_cue,125,0.04855045352471993,0.5390863047737576,0.5443037974683544
term_premium,anon_full,125,-0.10893141417805371,-1.2153399883219271,0.3924050632911392
term_premium,none,125,-0.04551581450030372,-0.5053185052003675,0.43333333333333335
term_premium,plain,125,-0.07679277519895311,-0.8541954519153724,0.4367816091954023
vol_regime,anon_cue,125,-0.09958602068966187,-1.1099801575169184,0.4868421052631579
vol_regime,anon_full,125,-0.15814399947577354,-1.7762540742552833,0.4367816091954023
vol_regime,none,125,-0.1548093819786001,-1.7378702432055413,0.4673913043478261
vol_regime,plain,125,-0.30555228941678586,-3.558944268908196,0.3793103448275862
