driver,arm,n,expected,retries,degraded,scored_n,ranking_cov,conv_distinct,ok
balance_sheet,anon_cue,126,126,0,0,126,1.0,23,True
balance_sheet,anon_full,126,126,0,0,126,1.0,24,True
balance_sheet,none,126,126,0,0,126,1.0,22,True
balance_sheet,plain,126,126,0,0,126,1.0,23,True
curve_slope,anon_cue,126,126,0,1,125,0.984,22,True
curve_slope,anon_full,126,126,0,0,126,0.984,21,True
curve_slope,none,126,126,0,0,126,0.984,22,True
curve_slope,plain,126,126,0,2,124,0.976,19,True
financial_conditions,anon_cue,126,126,0,0,126,0.976,23,True
financial_conditions,anon_full,126,126,0,0,126,1.0,21,True
financial_conditions,none,126,126,0,0,126,0.992,23,True
financial_conditions,plain,126,126,0,0,126,0.992,20,True
inflation,anon_cue,124,124,0,0,124,0.984,19,True
inflation,anon_full,124,124,0,2,122,0.992,23,True
inflation_expectations,anon_cue,126,126,0,2,124,0.992,21,True
inflation_expectations,anon_full,126,126,0,0,126,0.992,17,True
inflation_expectations,none,126,126,0,0,126,1.0,18,True
inflation_expectations,plain,126,126,0,0,126,1.0,19,True
inflation,none,124,124,0,0,124,1.0,21,True
inflation,plain,124,124,0,0,124,0.992,22,True
labor_tightness,anon_cue,124,124,0,0,124,0.992,20,True
labor_tightness,anon_full,124,124,0,0,124,0.976,18,True
labor_tightness,none,124,124,0,0,124,0.984,20,True
labor_tightness,plain,124,124,0,0,124,1.0,20,True
positioning,anon_cue,126,126,0,0,126,0.992,22,True
positioning,anon_full,126,126,0,0,126,0.984,24,True
positioning,none,126,126,0,0,126,0.992,26,True
positioning,plain,126,126,0,0,126,0.992,22,True
risk_appetite,anon_cue,126,126,0,0,126,0.992,20,True
risk_appetite,anon_full,126,126,0,0,126,1.0,22,True
risk_appetite,none,126,126,0,0,126,1.0,25,True
risk_appetite,plain,126,126,0,0,126,0.984,22,True
sector_breadth,anon_cue,126,126,0,0,126,0.992,23,True
sector_breadth,anon_full,126,126,0,0,126,0.968,21,True
sector_breadth,none,126,126,0,0,126,0.992,24,True
sector_breadth,plain,126,126,0,0,126,1.0,18,True
term_premium,anon_cue,126,126,0,0,126,0.992,18,True
term_premium,anon_full,126,126,0,0,126,0.992,17,True
term_premium,none,126,126,0,0,126,1.0,17,True
term_premium,plain,126,126,0,0,126,0.984,19,True
vol_regime,anon_cue,126,126,0,0,126,1.0,21,True
vol_regime,anon_full,126,126,0,0,126,0.992,22,True
vol_regime,none,126,126,0,0,126,0.984,22,True
vol_regime,plain,126,126,0,0,126,1.0,18,True
