driver,arm,n,r1_sig,r1_out,n_eff,t,t_adj
balance_sheet,anon_cue,125,0.636,0.631,53.4,9.6,6.21
balance_sheet,anon_full,125,0.597,0.631,56.6,10.73,7.15
balance_sheet,none,125,0.582,0.631,57.8,8.83,5.95
balance_sheet,plain,125,0.614,0.631,55.2,11.91,7.83
curve_slope,anon_cue,124,0.047,0.162,122.1,3.25,3.22
curve_slope,anon_full,125,-0.143,0.169,125.0,1.38,1.38
curve_slope,none,125,-0.018,0.169,125.0,0.56,0.56
curve_slope,plain,123,-0.066,0.144,123.0,1.06,1.06
financial_conditions,anon_cue,125,0.019,0.308,123.5,2.24,2.22
financial_conditions,anon_full,125,0.111,0.308,116.7,1.09,1.05
financial_conditions,none,125,0.137,0.308,114.9,2.79,2.67
financial_conditions,plain,125,0.049,0.308,121.3,3.29,3.24
inflation,anon_cue,123,0.002,0.501,122.8,2.99,2.98
inflation,anon_full,121,0.278,0.495,91.7,3.29,2.85
inflation_expectations,anon_cue,123,-0.072,-0.017,122.7,0.48,0.48
inflation_expectations,anon_full,125,0.115,-0.021,125.0,-1.21,-1.21
inflation_expectations,none,125,-0.106,-0.021,124.4,0.11,0.11
inflation_expectations,plain,125,0.036,-0.021,125.0,-0.63,-0.63
inflation,none,123,-0.074,0.501,123.0,3.22,3.22
inflation,plain,123,0.059,0.501,115.9,2.56,2.48
labor_tightness,anon_cue,123,0.209,0.01,122.5,1.7,1.7
labor_tightness,anon_full,123,0.114,0.01,122.7,1.52,1.52
labor_tightness,none,123,0.204,0.01,122.5,0.82,0.82
labor_tightness,plain,123,0.209,0.01,122.5,1.31,1.31
positioning,anon_cue,125,-0.253,-0.296,107.6,-0.94,-0.87
positioning,anon_full,125,-0.244,-0.296,108.2,0.61,0.57
positioning,none,125,-0.234,-0.296,108.8,-1.16,-1.08
positioning,plain,125,-0.258,-0.296,107.3,-0.14,-0.13
risk_appetite,anon_cue,125,0.093,0.105,122.6,1.64,1.63
risk_appetite,anon_full,125,0.057,0.105,123.5,0.98,0.98
risk_appetite,none,125,0.117,0.105,122.0,1.93,1.91
risk_appetite,plain,125,0.172,0.105,120.6,0.73,0.72
sector_breadth,anon_cue,125,-0.254,-0.139,116.5,-1.81,-1.74
sector_breadth,anon_full,125,-0.12,-0.139,120.9,-1.99,-1.95
sector_breadth,none,125,-0.014,-0.139,124.5,-2.52,-2.51
sector_breadth,plain,125,-0.229,-0.139,117.3,-1.26,-1.22
term_premium,anon_cue,125,0.02,0.071,124.6,0.54,0.54
term_premium,anon_full,125,0.056,0.071,124.0,-1.22,-1.21
term_premium,none,125,-0.048,0.071,125.0,-0.51,-0.51
term_premium,plain,125,-0.031,0.071,125.0,-0.85,-0.85
vol_regime,anon_cue,125,-0.229,-0.246,111.7,-1.11,-1.05
vol_regime,anon_full,125,-0.353,-0.246,105.1,-1.78,-1.63
vol_regime,none,125,-0.292,-0.246,108.3,-1.74,-1.62
vol_regime,plain,125,-0.503,-0.246,97.5,-3.56,-3.14
