model,arm,measure,beta,alpha_monthly,alpha_t,hedged_ann_sharpe,n
haiku,full,mapped,-0.17,-0.00017,-0.16,-0.049,125
haiku,full,pm_trade,-0.162,0.00168,1.22,0.379,125
haiku,conv,mapped,-0.167,-0.00051,-0.45,-0.14,125
haiku,conv,pm_trade,-0.269,0.00152,0.98,0.306,124
haiku,raw,mapped,-0.173,0.00025,0.26,0.079,125
haiku,raw,pm_trade,-0.171,0.00103,0.74,0.231,124
haiku,mech,mapped,-0.155,-0.00017,-0.15,-0.045,125
haiku,mech,pm_trade,-0.388,-0.00077,-0.2,-0.062,125
haiku,board_mean,mapped,-0.155,-0.00017,-0.15,-0.045,125
haiku,ridge,mapped,0.296,-0.00195,-1.24,-0.455,89
haiku,buy_hold,mapped,1.0,0.0,,,125
sonnet,full,mapped,-0.192,-0.0013,-0.83,-0.376,58
sonnet,full,pm_trade,-0.232,-0.00015,-0.08,-0.039,57
sonnet,conv,mapped,-0.196,-0.0013,-0.86,-0.392,58
sonnet,conv,pm_trade,-0.236,-0.00039,-0.21,-0.102,53
sonnet,raw,mapped,-0.154,-0.00055,-0.29,-0.133,59
sonnet,raw,pm_trade,-0.063,0.00057,0.3,0.165,39
sonnet,mech,mapped,-0.181,-0.00115,-0.78,-0.352,59
sonnet,mech,pm_trade,-0.488,0.00104,0.2,0.089,59
sonnet,board_mean,mapped,-0.181,-0.00115,-0.78,-0.352,59
sonnet,buy_hold,mapped,1.0,0.0,,,59
