date,model,pod,arm,measure,unit,monthly,cumulative,rolling_sharpe_12m
2016-02-29,haiku,equities,full,mapped,excess_return,-0.00054,-0.00054,
2016-03-31,haiku,equities,full,mapped,excess_return,0.004069,0.003526,
2016-04-30,haiku,equities,full,mapped,excess_return,-0.003394,0.00012,
2016-05-31,haiku,equities,full,mapped,excess_return,0.00878,0.008901,
2016-06-30,haiku,equities,full,mapped,excess_return,0.011859,0.020865,
2016-07-31,haiku,equities,full,mapped,excess_return,-0.042714,-0.02274,
2016-08-31,haiku,equities,full,mapped,excess_return,-2.6e-05,-0.022766,
2016-09-30,haiku,equities,full,mapped,excess_return,-0.000775,-0.023523,
2016-10-31,haiku,equities,full,mapped,excess_return,0.005717,-0.017941,
2016-11-30,haiku,equities,full,mapped,excess_return,0.002687,-0.015302,
2016-12-31,haiku,equities,full,mapped,excess_return,0.000167,-0.015138,
2017-01-31,haiku,equities,full,mapped,excess_return,-0.005316,-0.020373,-0.406
2017-02-28,haiku,equities,full,mapped,excess_return,0.010253,-0.01033,-0.176
2017-03-31,haiku,equities,full,mapped,excess_return,7e-05,-0.01026,-0.258
2017-04-30,haiku,equities,full,mapped,excess_return,-0.004103,-0.014321,-0.272
2017-05-31,haiku,equities,full,mapped,excess_return,-0.004651,-0.018905,-0.558
2017-06-30,haiku,equities,full,mapped,excess_return,-0.001071,-0.019956,-0.872
2017-07-31,haiku,equities,full,mapped,excess_return,0.008498,-0.011628,0.661
2017-08-31,haiku,equities,full,mapped,excess_return,-0.001877,-0.013483,0.548
2017-09-30,haiku,equities,full,mapped,excess_return,-0.007022,-0.02041,0.175
2017-10-31,haiku,equities,full,mapped,excess_return,0.000618,-0.019805,-0.096
2017-11-30,haiku,equities,full,mapped,excess_return,-0.001299,-0.021078,-0.318
2017-12-31,haiku,equities,full,mapped,excess_return,-0.008372,-0.029273,-0.727
2018-01-31,haiku,equities,full,mapped,excess_return,-0.009298,-0.0383,-0.873
2018-02-28,haiku,equities,full,mapped,excess_return,0.011832,-0.026921,-0.761
