model,pod,arm,measure,unit,n,mean_monthly,ann_sharpe,t_stat,hit_rate,max_dd
haiku,equities,full,mapped,excess_return,125,-0.0021,-0.5105,-1.6475,0.48,-0.2807
haiku,equities,full,pm_trade,excess_return,125,-0.0002,-0.0339,-0.1095,0.487,-0.2042
haiku,equities,conv,mapped,excess_return,125,-0.0024,-0.5613,-1.8117,0.432,-0.2977
haiku,equities,conv,pm_trade,excess_return,124,-0.0014,-0.2256,-0.7254,0.4215,-0.2714
haiku,equities,raw,mapped,excess_return,125,-0.0017,-0.4425,-1.4282,0.4597,-0.2062
haiku,equities,raw,pm_trade,excess_return,124,-0.001,-0.1943,-0.6247,0.4715,-0.2524
haiku,equities,mech,mapped,excess_return,125,-0.0019,-0.4503,-1.4534,0.472,-0.2596
haiku,equities,mech,pm_trade,excess_return,125,-0.0052,-0.3824,-1.2341,0.472,-0.6429
haiku,equities,board_mean,mapped,excess_return,125,-0.0019,-0.4503,-1.4534,0.472,-0.2596
haiku,equities,ridge,mapped,excess_return,89,0.0015,0.254,0.6918,0.573,-0.1039
haiku,equities,buy_hold,mapped,excess_return,125,0.0113,0.8595,2.7741,0.664,-0.2435
haiku,duration,full,yield_pnl,pp_yield,109,0.0239,0.3729,1.1239,0.4862,-0.8853
haiku,duration,conv,yield_pnl,pp_yield,119,0.0104,0.1673,0.5269,0.3866,-0.9802
haiku,duration,raw,yield_pnl,pp_yield,117,0.0313,0.5001,1.5616,0.5128,-0.8636
haiku,duration,mech,yield_pnl,pp_yield,125,0.0178,0.2661,0.8589,0.56,-0.978
haiku,curve,full,yield_pnl,pp_yield,110,0.0067,0.2388,0.7231,0.4,-0.6969
haiku,curve,conv,yield_pnl,pp_yield,113,0.0325,1.0508,3.2245,0.5133,-0.363
haiku,curve,raw,yield_pnl,pp_yield,122,-0.0182,-0.6589,-2.101,0.2869,-0.9561
haiku,front_end,full,yield_pnl,pp_yield,113,-0.0044,-0.1088,-0.3339,0.4513,-0.9001
haiku,front_end,conv,yield_pnl,pp_yield,116,-0.0048,-0.1428,-0.4441,0.3793,-0.9239
haiku,front_end,raw,yield_pnl,pp_yield,107,0.0187,0.4584,1.3687,0.5701,-0.7897
haiku,front_end,mech,yield_pnl,pp_yield,125,0.0322,0.4554,1.4698,0.56,-0.9
haiku,real,full,yield_pnl,pp_yield,123,0.0018,0.1424,0.456,0.187,-0.3795
haiku,real,conv,yield_pnl,pp_yield,121,0.0007,0.04,0.1269,0.2479,-0.4117
haiku,real,raw,yield_pnl,pp_yield,125,-0.0051,-0.2429,-0.7839,0.416,-0.7571
haiku,real,mech,yield_pnl,pp_yield,126,0.019,0.5039,1.6327,0.5159,-0.5321
haiku,composite_5pod,full,equal_vol_10pct,scaled_return,126,0.0,0.0037,0.0121,0.4603,-0.1234
haiku,composite_5pod,conv,equal_vol_10pct,scaled_return,126,0.0008,0.2298,0.7447,0.4841,-0.1413
haiku,composite_5pod,raw,equal_vol_10pct,scaled_return,126,-0.0009,-0.2502,-0.8108,0.4603,-0.2131
haiku,composite_5pod,mech,equal_vol_10pct,scaled_return,126,0.0016,0.3382,1.0959,0.5,-0.1119
sonnet,equities,full,mapped,excess_return,58,-0.0027,-0.641,-1.4092,0.5,-0.1626
sonnet,equities,full,pm_trade,excess_return,57,-0.0022,-0.4534,-0.9881,0.4909,-0.1356
sonnet,equities,conv,mapped,excess_return,58,-0.0028,-0.6558,-1.4417,0.5,-0.1564
sonnet,equities,conv,pm_trade,excess_return,53,-0.0022,-0.4317,-0.9073,0.4468,-0.1386
sonnet,equities,raw,mapped,excess_return,59,-0.0018,-0.3865,-0.857,0.5085,-0.1609
sonnet,equities,raw,pm_trade,excess_return,39,0.0003,0.0812,0.1463,0.4231,-0.0905
sonnet,equities,mech,mapped,excess_return,59,-0.0026,-0.6434,-1.4266,0.5085,-0.152
sonnet,equities,mech,pm_trade,excess_return,59,-0.0029,-0.2162,-0.4793,0.5085,-0.2927
sonnet,equities,board_mean,mapped,excess_return,59,-0.0026,-0.6434,-1.4266,0.5085,-0.152
sonnet,equities,ridge,mapped,excess_return,23,0.0033,0.6047,0.8372,0.5217,-0.0206
sonnet,equities,buy_hold,mapped,excess_return,59,0.008,0.6114,1.3556,0.5932,-0.2435
sonnet,duration,full,yield_pnl,pp_yield,50,0.0119,0.1834,0.3744,0.52,-0.8594
sonnet,duration,conv,yield_pnl,pp_yield,58,0.0175,0.2765,0.6079,0.5,-0.9374
sonnet,duration,raw,yield_pnl,pp_yield,44,0.0155,0.2287,0.4378,0.5455,-0.8967
sonnet,duration,mech,yield_pnl,pp_yield,59,0.0173,0.2079,0.461,0.4915,-0.978
sonnet,curve,full,yield_pnl,pp_yield,51,0.0231,0.9913,2.0436,0.6078,-0.3073
sonnet,curve,conv,yield_pnl,pp_yield,54,0.0036,0.1627,0.3451,0.4815,-0.3201
sonnet,curve,raw,yield_pnl,pp_yield,34,-0.0021,-0.0838,-0.141,0.5,-0.4222
sonnet,front_end,full,yield_pnl,pp_yield,52,0.0673,1.5121,3.1478,0.6923,-0.4048
sonnet,front_end,conv,yield_pnl,pp_yield,54,-0.0,-0.0005,-0.001,0.4815,-0.9527
sonnet,front_end,raw,yield_pnl,pp_yield,50,0.0757,1.323,2.7005,0.64,-0.4656
sonnet,front_end,mech,yield_pnl,pp_yield,59,0.0508,0.561,1.244,0.5085,-0.9
sonnet,real,full,yield_pnl,pp_yield,57,-0.0014,-0.0988,-0.2153,0.386,-0.2762
sonnet,real,conv,yield_pnl,pp_yield,57,-0.003,-0.225,-0.4903,0.3684,-0.2795
sonnet,real,raw,yield_pnl,pp_yield,50,-0.0132,-0.6467,-1.32,0.36,-0.5876
sonnet,real,mech,yield_pnl,pp_yield,60,0.0265,0.7347,1.6428,0.55,-0.5101
sonnet,composite_5pod,full,equal_vol_10pct,scaled_return,60,0.003,0.6525,1.459,0.6,-0.0839
sonnet,composite_5pod,conv,equal_vol_10pct,scaled_return,60,-0.0008,-0.1654,-0.3699,0.4,-0.1715
sonnet,composite_5pod,raw,equal_vol_10pct,scaled_return,60,0.0003,0.0622,0.1391,0.5167,-0.1174
sonnet,composite_5pod,mech,equal_vol_10pct,scaled_return,60,0.0019,0.3816,0.8533,0.5167,-0.1034
